scenario,spend affected A1 (M EUR),dNOS_DNK A1 (%),dTS_DNK A1 (%),dVA_DNK A1 (%),dVA_glob A1 (%),dJOBS_DNK A1 (%),dJOBS_glob A1 (%),dS3 A1 (%),ratio A1 (%),max |dVA_DNK| over hypotheses (%),VA_DNK A1 (M EUR),VA_DNK A2 (M EUR),VA_DNK A3 (M EUR),VA_DNK B1 (M EUR),VA_DNK B2 (M EUR),VA_DNK B3 (M EUR),ordering VA_DNK,ordering VA_glob,ordering Ratio_%
"Vessel-type assets as shipbuilding (FSIU, injection unit and carrier CAPEX -> Other transport equipment)",344.53017284599997,-4.2852715564615345,-0.98175339346801,-2.310186701946537,-3.571641319810459,1.251538576322253,-2.387046236072976,-0.4474447969683437,9.616205956464054,2.4956927503249626,391.58450985473576,361.7895241751135,371.7282524740922,247.45929562961032,361.1779444414575,399.5291737238132,B3 > A1 > A3 > A2 > B2 > B1,B2 > B1 > A1 > A3 > B3 > A2  (changed),B1 > B2 > B3 > A1 > A3 > A2
All plant CAPEX as civil engineering construction,400.3149231994,1.9797724264951189,0.0435884230288508,0.8221799713850286,-0.9230200976942826,4.313439336687908,-0.10114055458880777,-0.11509710840736931,9.640633374554973,0.8882003313061659,404.1404379198198,374.34545224019763,384.2841805391763,249.7010499305,368.46665846775227,409.4313121764128,B3 > A1 > A3 > A2 > B2 > B1,B2 > B1 > A1 > A3 > A2 > B3  (changed),B1 > B2 > B3 > A1 > A3 > A2
All non-energy OPEX as repair and installation of machinery,448.57949621821,-6.617930695990715,1.9832602927123633,-1.4755094304196414,3.594213865009843,1.9442081462888616,-1.0286971493552843,-0.14321057060122655,9.638567046674174,1.593991596190747,394.93027006476433,365.13528438514214,375.07401268412076,247.27960750726976,362.54581825136654,401.38582868866274,B3 > A1 > A3 > A2 > B2 > B1,B2 > B1 > A1 > A3 > A2 > B3  (changed),B1 > B2 > B3 > A1 > A3 > A2
Transport OPEX alternatives (pipeline -> gas distribution; shipping -> services to transport),1514.8297131637896,2.720613827387841,-7.996981238253442,-3.6871486387312635,-7.900333571653917,0.38362746782099055,-9.90884393448811,0.5783827641888672,9.691603859287072,22.514239575063243,386.0650299120382,363.25476181899774,370.8652509224491,191.87735002013258,332.7313426301091,351.13178356969047,A1 > A3 > A2 > B3 > B2 > B1  (changed),B1 > B2 > A1 > A3 > A2 > B3  (changed),B1 > B2 > B3 > A1 > A3 > A2
Marine fuels as refined petroleum products,115.81060219542135,-0.6027736288049423,0.14531655690759315,-0.15551058295165676,2.942161854543923,0.41271634476682806,-0.07794641064536867,-2.545042209872306,9.462033411400494,0.1699434707541747,400.2214164416903,370.41921191856784,380.3579402175465,247.2177162039327,365.5103248865305,406.1956891782478,B3 > A1 > A3 > A2 > B2 > B1,B2 > A1 > B1 > A3 > A2 > B3,B1 > B2 > B3 > A1 > A3 > A2
