scenario,spend affected A1 (M EUR),dNOS_DNK A1 (%),dTS_DNK A1 (%),dVA_DNK A1 (%),dVA_glob A1 (%),dJOBS_DNK A1 (%),dJOBS_glob A1 (%),dS3 A1 (%),ratio A1 (%),max |dVA_DNK| over hypotheses (%),VA_DNK A1 (M EUR),VA_DNK A2 (M EUR),VA_DNK A3 (M EUR),VA_DNK B1 (M EUR),VA_DNK B2 (M EUR),VA_DNK B3 (M EUR),ordering VA_DNK,ordering VA_glob,ordering Ratio_%
Gasification_and_injection#CAPEX: Machinery and equipment -> Other transport equipment,6.485033646000001,-0.05959301122170357,-0.009537899033984498,-0.029666402952810422,-0.029596736997739015,-0.03772304105197355,-0.031135989990316304,-0.004102415539719573,9.648791438720519,0.06860270861720474,400.7258562586911,370.9308705790689,380.86959887804755,247.45929562961032,365.9274601957444,406.65344735524354,B3 > A1 > A3 > A2 > B2 > B1,B2 > A1 > B1 > A3 > A2 > B3,B1 > B2 > B3 > A1 > A3 > A2
Gasification_and_injection#CAPEX: Machinery and equipment -> Civil engineering construction,6.485033646000001,0.04103876301748688,0.0004951940619557504,0.01679885118981428,-0.021256778927392084,0.09419454628716295,-0.007611684851738243,-0.003162096628139821,9.64886055177285,0.03884686306969698,400.9121098009433,371.1171241213211,381.0558524202998,247.72537211854217,366.19353668467625,406.9195238441754,B3 > A1 > A3 > A2 > B2 > B1,B2 > A1 > B1 > A3 > A2 > B3,B1 > B2 > B3 > A1 > A3 > A2
Gasification_and_injection#Energy: Distribution of gaseous fuels through mains -> Refined petroleum products,53.93643223909999,-0.40483896690344245,0.09665856308538334,-0.10500705220310991,1.8312070693654814,0.2542478571077478,0.2241270320993971,-0.057118319068305556,9.644894791668246,0.17170744701852092,400.42385720461573,370.6216526814933,380.56038098047196,247.20397821554005,365.67214278167415,406.39812994117324,B3 > A1 > A3 > A2 > B2 > B1,B2 > A1 > B1 > A3 > A2 > B3,B1 > B2 > B3 > A1 > A3 > A2
Gasification_and_injection#OPEX: Services to transport -> Repair and installation of machinery and equipment,12.107771609400002,-0.4156796084776482,0.12708216458243715,-0.09117691023632357,-0.011002211937016781,0.12666972949504363,0.041429348414046,0.005869647558021107,9.64952438124698,0.09849833941216746,400.47929460571675,370.68430892609456,380.62303722507323,247.48655568479103,365.9547202509251,406.68070741042425,B3 > A1 > A3 > A2 > B2 > B1,B2 > A1 > B1 > A3 > A2 > B3,B1 > B2 > B3 > A1 > A3 > A2
"Gasification_and_injection#OPEX: Services to transport -> Professional, scientific and technical services",12.107771609400002,-0.4540861747363234,0.003965437133301997,-0.18022940853948954,-0.04379567914617466,0.15226312002125653,0.03194010614933074,-0.0017348330081157215,9.6489654550605,0.19470167840045516,400.122332321502,370.3273466418797,380.2660749408584,247.34725845439993,365.815423020534,406.54141018003315,B3 > A1 > A3 > A2 > B2 > B1,B2 > B1 > A1 > A3 > A2 > B3  (changed),B1 > B2 > B3 > A1 > A3 > A2
Liquefaction#CAPEX: Machinery and equipment -> Civil engineering construction,158.424066755,0.29622965930373724,0.0006616017615534986,0.1195174497359286,-0.20603425821806853,0.7032700652700896,0.10293836395358635,-0.007670356514966059,9.648529196529807,0.1291146003878918,401.32385193358436,371.5288662539621,381.4675945529408,247.57214488083287,366.3377534180851,407.3024071267456,B3 > A1 > A3 > A2 > B2 > B1,B2 > B1 > A1 > A3 > A2 > B3  (changed),B1 > B2 > B3 > A1 > A3 > A2
Liquefaction#CAPEX: Machinery and equipment -> Fabricated metal products,158.424066755,-0.08661091058556059,0.016885453257242666,-0.0247332121326993,-0.13208607537293915,0.1953824498236445,0.15269846043661772,0.18335821821249265,9.66256971801616,0.02671926825645876,400.74563069621024,370.95064501658806,380.8893733155667,247.60112942968445,366.0329835013187,406.7241858893715,B3 > A1 > A3 > A2 > B2 > B1,B2 > A1 > B1 > A3 > A2 > B3,B1 > B2 > B3 > A1 > A3 > A2
Liquefaction#OPEX: Services to transport -> Basic inorganic chemicals,308.92693017224997,10.996201531560978,0.4350743018659342,4.681986985492093,1.3446600680962595,0.10848042448043937,0.5063015467783316,1.3074911783672594,9.74519302713674,5.0579466010096885,419.612272563843,389.8172868842208,399.75601518319945,247.60202708199688,377.6339105651308,425.59082775700426,B3 > A1 > A3 > A2 > B2 > B1,B2 > A1 > B1 > A3 > A2 > B3,B1 > B2 > B3 > A1 > A3 > A2
Liquefaction#OPEX: Services to transport -> Repair and installation of machinery and equipment,308.92693017224997,-4.269116399908701,1.2763115391847712,-0.9536538554609675,2.6067179609075897,1.2486362645857785,-0.792656447528195,-0.11047424050405485,9.640973153439978,1.0302314576514648,397.0221008569031,367.22711517728084,377.1658434762595,247.50134800234662,363.6853151362155,403.0006560500643,B3 > A1 > A3 > A2 > B2 > B1,B2 > B1 > A1 > A3 > A2 > B3  (changed),B1 > B2 > B3 > A1 > A3 > A2
Loading#CAPEX: Other transport equipment -> Machinery and equipment,16.6282914,0.15280259287620002,0.024456151369167678,0.0760676998790677,0.07588906922499916,0.0967257462871407,0.07983587177002871,0.010519014204413146,9.649866107778678,0.16007298677347404,401.1496858826257,371.35470020300346,381.29342850198213,248.02556336970795,366.493727935842,407.21971509534114,B3 > A1 > A3 > A2 > B2 > B1,B2 > B1 > A1 > A3 > A2 > B3  (changed),B1 > B2 > B3 > A1 > A3 > A2
