scenario,spend affected A1 (M EUR),dNOS_DNK A1 (%),dTS_DNK A1 (%),dVA_DNK A1 (%),dVA_glob A1 (%),dJOBS_DNK A1 (%),dJOBS_glob A1 (%),dS3 A1 (%),ratio A1 (%),max |dVA_DNK| over hypotheses (%),VA_DNK A1 (M EUR),VA_DNK A2 (M EUR),VA_DNK A3 (M EUR),VA_DNK B1 (M EUR),VA_DNK B2 (M EUR),VA_DNK B3 (M EUR),ordering VA_DNK,ordering VA_glob,ordering Ratio_%
Loading#CAPEX: Other transport equipment -> Civil engineering construction,16.6282914,0.2580301903569282,0.025725879733173862,0.11914167728888092,0.02138450787270152,0.3382502239465346,0.06031873112455344,0.002411074132258051,9.649270177526066,0.25071566726944106,401.32234566937393,371.52735998975163,381.4660882887303,248.25002109248058,366.71818565861463,407.44417281811377,B3 > A1 > A3 > A2 > B2 > B1,B2 > A1 > B1 > A3 > A2 > B3,B1 > B2 > B3 > A1 > A3 > A2
Loading#OPEX: Services to transport -> Repair and installation of machinery and equipment,11.475044618199998,-0.14252179754650207,0.04242729605126172,-0.031945697886071045,0.10414123380271256,0.041355848695867614,-0.03412921062929675,-0.004762838072247533,9.648742897936653,0.039046998706882,400.7167198241017,370.9217341444795,380.8604624434581,247.61994433603422,365.9926446652952,406.6644753777754,B3 > A1 > A3 > A2 > B2 > B1,B2 > B1 > A1 > A3 > A2 > B3  (changed),B1 > B2 > B3 > A1 > A3 > A2
Pipeline_transport#OPEX: Transport via pipeline -> Distribution of gaseous fuels through mains,710.6339203125,-20.342415564136076,-6.962133141828463,-12.34270378489597,-8.088242788096379,-2.698756433321081,-6.959758828757057,1.5395812533571585,9.762251551963793,22.447561188859634,351.36968957915747,328.559421486117,336.16991058956836,192.04246515842644,310.51062972456054,351.23661688405963,A1 > B3 > A3 > A2 > B2 > B1  (changed),B2 > A1 > B1 > A3 > A2 > B3,B1 > B2 > B3 > A1 > A3 > A2
Pipeline_transport#OPEX: Transport via pipeline -> Services to transport,710.6339203125,35.60217861018895,-5.608858420695329,10.963205532832365,-3.18663350518692,3.17638305943726,-5.595188117801997,-1.2016273896977792,9.560773846828315,19.938680479835647,444.790208759159,408.7911614877654,420.7979103173345,297.00316611948705,415.4713306856211,456.1973178451202,B3 > A1 > A3 > B2 > A2 > B1  (changed),B2 > A1 > B1 > A3 > A2 > B3,B1 > B2 > B3 > A1 > A3 > A2
Shipping_Transport#CAPEX: Water transport -> Other transport equipment,228.04513919999997,-3.214853992551192,-0.8104323872045294,-1.777314841174027,-3.0400208081542757,1.9291248381729798,-1.8277774582061146,-0.3737566654550939,9.621622003750575,1.9200317274900458,393.7204988526812,363.925513173059,373.86424147203763,247.6291759516396,361.3478247634868,399.69905404584244,B3 > A1 > A3 > A2 > B2 > B1,B2 > B1 > A1 > A3 > A2 > B3  (changed),B1 > B2 > B3 > A1 > A3 > A2
Shipping_Transport#Energy: Distribution of gaseous fuels through mains -> Refined petroleum products,61.87416995632135,-0.1979346619014999,0.048657993822187606,-0.050503530748546854,1.1109547851784418,0.15846848765910249,-0.3020734427447769,-2.4879238908040002,9.466231584303616,0.05455892177405053,400.6423317211861,370.8473460415639,380.78607434054254,247.64291394003226,365.93552262263006,406.62088691434735,B3 > A1 > A3 > A2 > B2 > B1,B2 > A1 > B1 > A3 > A2 > B3,B1 > B2 > B3 > A1 > A3 > A2
Shipping_Transport#OPEX: Water transport -> Services to transport,804.1957928512898,23.063029391523916,-1.0348480964249673,8.655555146164717,0.18790921644245007,3.082383901142083,-2.949085105731053,-0.9611984891682912,9.578445271894648,9.350588941629589,435.5401128169923,405.7451271373701,415.6838554363487,247.46406081334575,388.3180534233223,406.71849436290364,A1 > A3 > B3 > A2 > B2 > B1  (changed),B1 > B2 > A1 > B3 > A3 > A2  (changed),B1 > B2 > B3 > A1 > A3 > A2
Storage#CAPEX: Machinery and equipment -> Fabricated metal products,108.7775313984,-0.17244306635975093,0.03969920242941072,-0.045608897024274064,-0.06497002146227393,0.4462221380158171,0.1342165069544876,0.11449520070510033,9.657508314619799,0.09228561154337456,400.6619516046021,370.8669659249799,380.80569422395854,247.40064985225283,365.8688144183869,406.59480157788596,B3 > A1 > A3 > A2 > B2 > B1,B2 > A1 > B1 > A3 > A2 > B3,B1 > B2 > B3 > A1 > A3 > A2
Storage#CAPEX: Machinery and equipment -> Civil engineering construction,108.7775313984,0.688368877691059,0.008306200177732315,0.28177765336423466,-0.3565532676348737,1.579984125854117,-0.12767555777694062,-0.053039827397749484,9.645194559124576,0.5701524210537157,401.9742634776505,372.1792777980283,382.1180060970069,249.04103969356325,367.50920425969736,408.23519141919644,B3 > A1 > A3 > A2 > B2 > B1,B2 > A1 > B1 > A3 > A2 > B3,B1 > B2 > B3 > A1 > A3 > A2
Storage#OPEX: Services to transport -> Repair and installation of machinery and equipment,111.49696968335999,-1.6336218666481273,0.4894437726228995,-0.3642978967548838,0.8985121221774639,0.4797065488961749,-0.2589875917596185,-0.036059947813105175,9.646442573273685,0.3935507113445591,399.3845034087,369.58951772907784,379.52824602805646,247.55928733901672,365.20515975225186,405.5099728822173,B3 > A1 > A3 > A2 > B2 > B1,B2 > B1 > A1 > A3 > A2 > B3  (changed),B1 > B2 > B3 > A1 > A3 > A2
Unloading#CAPEX: Machinery and equipment -> Other transport equipment,110.0,-1.0108245526886162,-0.16178310722949618,-0.5032054578196998,-0.5020237746584444,-0.6398632207987531,-0.5281327878765452,-0.06958571597353025,9.643978443135696,0.5436124326862468,398.82769971158655,369.03271403196436,378.971442330943,247.6291759516396,366.0973405177737,406.8233276772728,B3 > A1 > A3 > A2 > B2 > B1,B2 > B1 > A1 > A3 > B3 > A2  (changed),B1 > B2 > B3 > A1 > A3 > A2
Unloading#CAPEX: Machinery and equipment -> Civil engineering construction,110.0,0.6961049361259297,0.008399547294413168,0.2849443398061924,-0.3605603007866387,1.5977403753300035,-0.1291104070382465,-0.053635901998771995,9.645150747887147,0.3078251305408619,401.9869569747141,372.1919712950919,382.1306995940705,247.6291759516396,366.0973405177737,406.8233276772728,B3 > A1 > A3 > A2 > B2 > B1,B2 > B1 > A1 > A3 > B3 > A2  (changed),B1 > B2 > B3 > A1 > A3 > A2
Unloading#OPEX: Services to transport -> Water transport,4.572780135,-0.31087334612007744,0.013705064189539762,-0.11681662517135649,0.03265095624342962,-0.042326456161712045,0.04880867198289174,0.011157442554909913,9.649913031999231,0.1261969018832687,400.3765191487198,370.5815334690976,380.52026176807624,247.6291759516396,366.0973405177737,406.8233276772728,B3 > A1 > A3 > A2 > B2 > B1,B2 > A1 > B1 > A3 > A2 > B3,B1 > B2 > B3 > A1 > A3 > A2
Unloading#OPEX: Services to transport -> Repair and installation of machinery and equipment,4.572780135,-0.15699102340974713,0.047995520270971426,-0.03443507008139557,-0.004155239940895061,0.0478397546160414,0.01564675214775768,0.0022168082301599057,9.649255899062354,0.03720017723531921,400.706741305789,370.91175562616684,380.85048392514545,247.6291759516396,366.0973405177737,406.8233276772728,B3 > A1 > A3 > A2 > B2 > B1,B2 > A1 > B1 > A3 > A2 > B3,B1 > B2 > B3 > A1 > A3 > A2
