indicator,min A1,baseline A1,max A1,min (%),max (%)
NOS_DNK,109.12635636127989,161.1904403198033,276.66917697106635,-32.29973431130766,71.64118195976896
TS_DNK,218.13640564585072,239.65433216430822,244.97413619482558,-8.978734631721451,2.2197821263961526
VA_DNK,334.6024213793181,400.84477248411156,501.54871460747944,-16.525686662763984,25.12292763587418
VA_glob,1406.387974070362,1603.0944351892576,1712.8740601802908,-12.27042255284686,6.847982413342524
JOBS_DNK,23095.190417500125,23912.68603834838,27471.814124210687,-3.41866915133352,14.883849017022133
JOBS_glob,98748.62903028035,114572.74310217437,115933.19983346386,-13.811412420999902,1.1874174384358227
S3,13284.690707282,14038.421255665471,14483.786232920509,-5.369054929016959,3.1724719549593328
