stressor,kind,original total,reproduced total,max relative error
VA_Net_Surplus,Full,7065876.484701749,7065876.484701745,3.3896347882541023e-16
VA_Net_Surplus,Rank1,2224568.8789311675,2224568.8789311657,8.835397015690186e-16
VA_Taxes_Production,Full,3050062.800934836,3050062.8009348316,2.002748390346056e-15
VA_Taxes_Production,Rank1,798981.2715165928,798981.2715165921,4.89453478951523e-16
VA_Subsidies_Production,Full,-161968.93083788088,-161968.93083787983,4.3779260958980594e-15
VA_Subsidies_Production,Rank1,-39057.36059093574,-39057.36059093547,4.393088126758473e-15
employment_skill_high,Full,259803.0237937822,259803.02379377902,1.0052389545819313e-14
employment_skill_high,Rank1,73547.52860496624,73547.52860496551,7.645570645791872e-15
employment_skill_middle,Full,286439.69952287443,286439.6995228702,1.1572732869405346e-14
employment_skill_middle,Rank1,78235.74261779024,78235.74261778936,8.635676955224778e-15
employment_skill_low,Full,132097.99642562523,132097.99642562197,2.240970397404879e-14
employment_skill_low,Rank1,34038.17992091729,34038.17992091671,1.429237302783616e-14
ghg_ar6,Full,107484.38459459491,107484.38459459442,3.090442630504741e-15
ghg_ar6,Rank1,23550.206149095535,23550.206149095397,3.821456654819942e-15
