H,NOS_glob,NOS_DNK,TS_glob,TS_DNK,VA_glob,VA_DNK,JOBS_glob,JOBS_DNK,DJOBS_glob,DJOBS_DNK,S3,Ratio_%
A1,1133.070220605432,161.1904403198033,470.02421458382554,239.65433216430822,1603.0944351892576,400.84477248411156,114572.74310217437,23912.68603834838,31584.766646379932,7570.13627758986,14038.421255665471,9.64909296457137
A2,1094.7130021166681,150.2370933462656,445.87875895597034,220.81269345822372,1540.5917610726385,371.0497868044894,109975.13117101365,22181.81697017504,30335.273160217293,6981.880204503679,13418.444321458483,9.28266064905305
A3,1107.5244941904268,153.89356152263136,453.9307394386893,227.0949535808366,1561.4552336291163,380.988515103468,111509.51824652488,22759.35318520265,30752.433026443505,7178.249434582307,13625.263393976851,9.407495765554813
B1,1167.408994493415,95.1874280779227,435.35548163376654,152.44174787371696,1602.764476127182,247.6291759516396,114655.25037803316,14934.117437316087,31166.01444432645,5058.63568010677,14652.9003481129,10.441120797108145
B2,1162.2902191865019,142.3046413080474,473.922705018197,223.79269920972632,1636.2129242046985,366.0973405177737,117024.22834392347,21865.257304656632,32048.02595323395,7051.790017094131,14749.445878282138,10.270860660214574
B3,1064.399245313979,155.3334255880933,471.4536909380769,251.4899020891795,1535.852936252056,406.8233276772728,110603.84850060171,24635.56141755417,29934.93791307044,7833.416450053077,14493.806016485198,9.888785471894263
