indicator,P5 dA1 (%),P50 dA1 (%),P95 dA1 (%),full ordering of the 6 hypotheses preserved (% of draws),best hypothesis unchanged (% of draws)
NOS_DNK,-25.661712942647714,13.341206890577807,64.25521117970759,16.74,83.27
TS_DNK,-7.919906080366447,-5.4631266717882045,0.9908657452196499,42.65,100.0
VA_DNK,-14.18590576627872,4.960609008160565,21.86125318596716,27.24,44.45
VA_glob,-9.189266621277199,-2.181617961821103,3.7644732554605516,14.01,58.13
JOBS_DNK,-0.20935075698539304,5.085442825204922,10.688298180127127,74.21,75.48
JOBS_glob,-11.89083898894453,-7.464817760211023,-0.37347072758100885,10.46,53.12
S3,-4.606050867327493,-1.3647119287855891,1.5973635374509487,60.98,92.45
